topo,density,level,length,name,a,b,c,d,e,f,g,h,i,k,l,m,heuristic1,heuristic2,heuristic3
nsf,centers,easy,1,./data_1_9/nsf_centers_easy_s1.json,0.498291336,707,37755.42383,0.497928208,675,38708.36439,0.497514722,665,38970.17117,0.498291336,707,37755.42383,-0.072927782,-0.155855409,0
nsf,centers,easy,2,./data_1_9/nsf_centers_easy_s2.json,0.493195591,955,30492.19622,0.514996446,811,37246.02772,0.514951265,811,37240.69449,0.521021103,837,37202.37256,4.233204941,4.411165549,5.340572933
nsf,centers,easy,3,./data_1_9/nsf_centers_easy_s3.json,0.494996925,594,48140.63645,0.506418646,608,49241.15435,0.504580223,602,49195.27479,0.509899822,634,48815.18024,2.255391086,1.936031825,2.922710767
nsf,centers,hard,1,./data_1_9/nsf_centers_hard_s1.json,0.496159837,1462,74017.50926,0.499240703,1508,69063.12377,0.499890586,1516,68267.80184,0.500722348,1555,63032.54652,0.61711034,0.751924828,0.911185813
nsf,centers,hard,2,./data_1_9/nsf_centers_hard_s2.json,0.466562628,1487,55311.88702,0.504946769,1521,72436.35188,0.504444484,1525,71579.56303,0.525313871,1620,69998.83532,7.601621271,8.119350699,11.18402659
nsf,centers,hard,3,./data_1_9/nsf_centers_hard_s3.json,0.442341642,1401,36044.92199,0.505079389,1644,36557.82614,0.504150898,1644,36176.81205,0.527689363,1749,34933.27695,12.42136353,13.97319405,16.17385663
nsf,centers,normal,1,./data_1_9/nsf_centers_normal_s1.json,0.493734684,961,72144.35173,0.49504737,965,72231.40713,0.494551649,967,71944.0374,0.49756201,1044,67226.63865,0.265163716,0.165466399,0.769215881
nsf,centers,normal,2,./data_1_9/nsf_centers_normal_s2.json,0.467002196,1183,42194.53685,0.512199877,1184,53307.45662,0.516086519,1194,53649.05677,0.522367422,1204,54582.62376,8.824227226,10.51051225,10.59890485
nsf,centers,normal,3,./data_1_9/nsf_centers_normal_s3.json,0.484554484,1110,49879.90455,0.515730001,991,64193.19717,0.521794935,977,66444.11951,0.536185164,998,68623.16238,6.044929893,7.685503329,9.629263073
nsf,rural,easy,1,./data_1_9/nsf_rural_easy_s1.json,0.406239555,559,136325.2843,0.440186649,565,153358.1627,0.406195398,551,137410.4979,0.404622882,524,140324.0033,7.711977198,-0.010869695,-0.399550562
nsf,rural,easy,2,./data_1_9/nsf_rural_easy_s2.json,0.438413062,462,196953.0176,0.474001747,442,222133.4435,0.434149084,470,193040.2626,0.434033191,473,192489.0929,7.50813372,-0.972593741,-1.009109693
nsf,rural,easy,3,./data_1_9/nsf_rural_easy_s3.json,0.423589946,416,241691.9452,0.460081081,461,260800.0149,0.430719694,477,235664.6873,0.432439466,519,229109.49,7.931457412,1.68317215,2.046418215
nsf,rural,hard,1,./data_1_9/nsf_rural_hard_s1.json,0.480702127,1585,271962.0255,0.48669926,1611,269643.7032,0.486696386,1609,271468.064,0.487374637,1639,246383.1064,1.232205079,1.24697992,1.369072064
nsf,rural,hard,2,./data_1_9/nsf_rural_hard_s2.json,0.445999933,1450,294159.6188,0.490512802,1663,265096.099,0.493576509,1687,255104.7926,0.508024247,1759,243219.7135,9.074761926,10.66739532,12.20892789
nsf,rural,hard,3,./data_1_9/nsf_rural_hard_s3.json,0.423393904,1309,301832.4487,0.489504519,1587,288530.6283,0.489231536,1588,286822.1169,0.510045408,1692,269107.3375,13.50561893,15.54997164,16.98897836
nsf,rural,normal,1,./data_1_9/nsf_rural_normal_s1.json,0.412518731,653,354653.5367,0.443117657,643,401884.4004,0.41220995,653,354213.0527,0.412602661,637,360502.2928,6.905372764,-0.074852601,0.020341604
nsf,rural,normal,2,./data_1_9/nsf_rural_normal_s2.json,0.408435292,642,397216.6953,0.447389151,599,476137.3412,0.41204343,646,401383.805,0.415891514,687,391365.3296,8.706929731,0.883405051,1.792828598
nsf,rural,normal,3,./data_1_9/nsf_rural_normal_s3.json,0.434733153,633,410590.0214,0.473630342,674,453173.766,0.443393982,577,444423.9004,0.455195094,652,433951.5231,8.212562742,1.992217281,4.495202446
